# audience	path	classification	rationale
player	player.cityStatePartners[].availableGoldGifts[]	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].canDeclareWar	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].canDemandWorker	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].canNegotiatePeace	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].canPledgeProtection	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].canRevokeProtection	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].civilizationId	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].diplomaticMarriageCost	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].improvementGifts[].goldCost	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].improvementGifts[].improvementName	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].improvementGifts[].x	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].improvementGifts[].y	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.cityStatePartners[].tributeGoldAmount	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.civilizationId	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.currentPlayerCivilizationId	public	Public protocol or turn metadata required to synchronize the player presentation.
player	player.diplomacyPartners[].adoptedPolicyBranches[]	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].availableDemands[]	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].canDeclareWar	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].canDenounce	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].canOfferFriendship	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].civilizationId	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPrompts[].availableCityStateResponses[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].cityStateCivilizationId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].demand	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].promptId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].requestingCivilizationId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].type	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
